Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
128,PAN,Panama,Panama City,North America,4408581.00,4294396.00,3957099.00,3623617.00,3001731.00,2449968.00,1956987.00,1516188.00,75417.00,58.46,1.01,0.06
93,PNG,Papua New Guinea,Port Moresby,Oceania,10142619.00,9749640.00,8682174.00,7583269.00,5508297.00,3864972.00,3104788.00,2489059.00,462840.00,21.91,1.02,0.13
109,PRY,Paraguay,Asunción,South America,6780744.00,6618695.00,6177950.00,5768613.00,5123819.00,4059195.00,3078912.00,2408787.00,406752.00,16.67,1.01,0.09
44,PER,Peru,Lima,South America,34049588.00,33304756.00,30711863.00,29229572.00,26654439.00,22109099.00,17492406.00,13562371.00,1285216.00,26.49,1.01,0.43
13,PHL,Philippines,Manila,Asia,115559009.00,112190977.00,103031365.00,94636700.00,77958223.00,61558898.00,48419546.00,37435586.00,342353.00,337.54,1.01,1.45
37,POL,Poland,Warsaw,Europe,39857145.00,38428366.00,38553146.00,38597353.00,38504431.00,38064255.00,35521429.00,32482943.00,312679.00,127.47,1.04,0.50
92,PRT,Portugal,Lisbon,Europe,10270865.00,10298192.00,10365435.00,10588401.00,10300626.00,10007346.00,9785252.00,8683631.00,92090.00,111.53,1.00,0.13
136,PRI,Puerto Rico,San Juan,North America,3252407.00,3271564.00,3497335.00,3717922.00,3827108.00,3543776.00,3214568.00,2737619.00,8870.00,366.68,1.00,0.04
143,QAT,Qatar,Doha,Asia,2695122.00,2760385.00,2414573.00,1713504.00,645937.00,441675.00,277450.00,118007.00,11586.00,232.62,1.00,0.03
114,COG,Republic of the Congo,Brazzaville,Africa,5970424.00,5702174.00,5064386.00,4437884.00,3134030.00,2385435.00,1829256.00,1396989.00,342000.00,17.46,1.02,0.07
161,REU,Reunion,Saint-Denis,Africa,974052.00,957822.00,922495.00,890130.00,785424.00,658992.00,551674.00,473925.00,2511.00,387.91,1.01,0.01
64,ROU,Romania,Bucharest,Europe,19659267.00,19442038.00,19906079.00,20335211.00,21919876.00,22836234.00,22125224.00,19922618.00,238391.00,82.47,1.02,0.25
9,RUS,Russia,Moscow,Europe,144713314.00,145617329.00,144668389.00,143242599.00,146844839.00,148005704.00,138257420.00,130093010.00,17098242.00,8.46,1.00,1.81
76,RWA,Rwanda,Kigali,Africa,13776698.00,13146362.00,11642959.00,10309031.00,8109989.00,7319962.00,5247532.00,3896367.00,26338.00,523.07,1.02,0.17
228,BLM,Saint Barthelemy,Gustavia,North America,10967.00,10681.00,9643.00,8988.00,7082.00,5168.00,2983.00,2417.00,21.00,522.24,1.01,0.00
211,KNA,Saint Kitts and Nevis,Basseterre,North America,47657.00,47642.00,47790.00,47403.00,45461.00,40636.00,43097.00,44968.00,261.00,182.59,1.00,0.00
190,LCA,Saint Lucia,Castries,North America,179857.00,179237.00,175623.00,170935.00,159500.00,142301.00,121633.00,103090.00,616.00,291.98,1.00,0.00
220,MAF,Saint Martin,Marigot,North America,31791.00,32552.00,35020.00,36458.00,29610.00,28127.00,7776.00,5802.00,53.00,599.83,1.00,0.00
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,5862.00,5906.00,5978.00,6052.00,6274.00,6324.00,6106.00,5537.00,242.00,24.22,1.00,0.00
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,103948.00,104632.00,106482.00,109308.00,113813.00,112487.00,107480.00,98459.00,389.00,267.22,1.00,0.00
188,WSM,Samoa,Apia,Oceania,222382.00,214929.00,203571.00,194672.00,184008.00,168186.00,164905.00,142771.00,2842.00,78.25,1.02,0.00
218,SMR,San Marino,San Marino,Europe,33660.00,34007.00,33570.00,31608.00,,23132.00,21346.00,18169.00,61.00,551.80,1.00,0.00
187,STP,Sao Tome and Principe,São Tomé,Africa,227380.00,218641.00,201124.00,182138.00,143714.00,120343.00,97210.00,77583.00,964.00,235.87,1.02,0.00
41,SAU,Saudi Arabia,Riyadh,Asia,36408820.00,35997107.00,32749848.00,29411929.00,21547390.00,16004763.00,10171710.00,6106191.00,2149690.00,16.94,1.01,0.46
72,SEN,Senegal,Dakar,Africa,17316449.00,16436119.00,14356181.00,12530121.00,9704287.00,7536001.00,5703869.00,4367744.00,,,1.03,0.22
105,SRB,Serbia,Belgrade,Europe,7221365.00,7358005.00,7519496.00,7653748.00,7935022.00,7987529.00,7777010.00,7193533.00,88361.00,81.73,0.99,0.09
196,SYC,Seychelles,Victoria,Africa,107118.00,105530.00,99240.00,92409.00,80060.00,71057.00,65290.00,54379.00,452.00,236.99,1.01,0.00
102,SLE,Sierra Leone,Freetown,Africa,8605718.00,8233969.00,7314773.00,6436698.00,4584067.00,4325388.00,3367477.00,2778557.00,71740.00,119.96,1.02,0.11
113,SGP,Singapore,Singapore,Asia,5975689.00,5909869.00,5650018.00,5163590.00,4053602.00,3022209.00,2400729.00,2061831.00,710.00,8416.46,1.01,0.07
214,SXM,Sint Maarten,Philipsburg,North America,44175.00,43621.00,40205.00,33034.00,30489.00,27845.00,12243.00,6260.00,34.00,1299.26,1.00,0.00
116,SVK,Slovakia,Bratislava,Europe,5643453.00,5456681.00,5424444.00,5396424.00,5376690.00,5261305.00,4973883.00,4522867.00,49037.00,115.09,1.04,0.07
148,SVN,Slovenia,Ljubljana,Europe,2119844.00,2117641.00,2080862.00,2057286.00,1984339.00,1986024.00,1901570.00,1741286.00,20273.00,104.56,1.00,0.03
166,SLB,Solomon Islands,Honiara,Oceania,724273.00,691191.00,612660.00,540394.00,429978.00,324171.00,233668.00,172833.00,28896.00,25.06,1.02,0.01
70,SOM,Somalia,Mogadishu,Africa,17597511.00,16537016.00,13763906.00,12026649.00,8721465.00,6999096.00,5892224.00,,637657.00,27.60,1.03,0.22
24,ZAF,South Africa,Pretoria,Africa,59893885.00,58801927.00,55876504.00,51784921.00,46813266.00,39877570.00,29463549.00,22368306.00,1221037.00,49.05,1.01,0.75
29,KOR,South Korea,Seoul,Asia,51815810.00,51844690.00,50994401.00,48813042.00,46788591.00,44120039.00,38170501.00,32601143.00,100210.00,517.07,1.00,0.65
86,SSD,South Sudan,Juba,Africa,10913164.00,10606227.00,11194299.00,,6114440.00,4750817.00,4192011.00,3342410.00,619745.00,17.61,1.02,0.14
30,ESP,Spain,Madrid,Europe,47558630.00,47363807.00,46431342.00,46572772.00,40741651.00,38889889.00,37491666.00,33792617.00,505992.00,93.99,1.00,0.60
61,LKA,Sri Lanka,Colombo,Asia,21832143.00,21715079.00,21336697.00,20668557.00,18776371.00,17204094.00,14943645.00,12388769.00,65610.00,332.76,1.00,0.27
32,SDN,Sudan,Khartoum,Africa,46874204.00,44440486.00,38171178.00,33739933.00,26298773.00,21090886.00,16673586.00,11305206.00,1886068.00,24.85,1.03,0.59
170,SUR,Suriname,Paramaribo,South America,618040.00,607065.00,575475.00,546080.00,478998.00,412756.00,375112.00,379918.00,163820.00,3.77,1.01,0.01
87,SWE,Sweden,Stockholm,Europe,10549347.00,10368969.00,9849349.00,9381729.00,8871043.00,8548406.00,8311763.00,8027702.00,450295.00,23.43,1.01,0.13
101,CHE,Switzerland,Bern,Europe,8740472.00,8638613.00,8281732.00,7822435.00,7182059.00,6711693.00,6319113.00,6181227.00,41284.00,211.72,1.01,0.11
60,SYR,Syria,Damascus,Asia,22125249.00,20772595.00,19205178.00,22337563.00,16307654.00,12408996.00,8898954.00,6319199.00,185180.00,119.48,1.04,0.28
57,TWN,Taiwan,Taipei,Asia,23893394.00,23821464.00,23512136.00,23083083.00,22194731.00,20586174.00,18100281.00,14957870.00,36193.00,660.17,1.00,0.30
95,TJK,Tajikistan,Dushanbe,Asia,9952787.00,9543207.00,8524063.00,7621779.00,6272998.00,5417860.00,4045965.00,2993019.00,143100.00,69.55,1.02,0.12
22,TZA,Tanzania,Dodoma,Africa,65497748.00,61704518.00,52542823.00,45110527.00,34463704.00,26206012.00,19297659.00,13618192.00,945087.00,69.30,1.03,0.82
20,THA,Thailand,Bangkok,Asia,71697030.00,71475664.00,70294397.00,68270489.00,63066603.00,55228410.00,45737753.00,,513120.00,139.73,1.00,0.90
155,TLS,Timor-Leste,Dili,Asia,,1299995.00,1205813.00,1088486.00,,758106.00,642224.00,554021.00,14874.00,90.18,1.02,0.02
100,TGO,Togo,Lomé,Africa,8848699.00,8442580.00,7473229.00,6571855.00,5008035.00,3875947.00,2838110.00,2197383.00,56785.00,155.83,1.02,0.11
233,TKL,Tokelau,Nukunonu,Oceania,1871.00,1827.00,1454.00,1367.00,1666.00,1669.00,1647.00,1714.00,12.00,155.92,1.01,0.00
197,TON,Tonga,Nuku‘alofa,Oceania,106858.00,105254.00,106122.00,107383.00,102603.00,98727.00,96708.00,86484.00,747.00,143.05,1.01,0.00
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,1531044.00,1518147.00,1460177.00,1410296.00,1332203.00,1266518.00,1127852.00,988890.00,5130.00,,1.00,0.02
79,TUN,Tunisia,Tunis,Africa,12356117.00,12161723.00,11557779.00,10895063.00,9893316.00,8440023.00,6578156.00,5047404.00,163610.00,75.52,1.01,0.15
18,TUR,Turkey,Ankara,Asia,85341241.00,84135428.00,79646178.00,73195345.00,64113547.00,54324142.00,44089069.00,35540990.00,783562.00,108.91,1.01,1.07
111,TKM,Turkmenistan,Ashgabat,Asia,6430770.00,6250438.00,5766431.00,5267970.00,4569132.00,3720278.00,2862903.00,2201432.00,488100.00,13.18,1.01,0.08
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,45703.00,44276.00,36538.00,29726.00,18744.00,11709.00,7598.00,5665.00,948.00,48.21,1.01,0.00
227,TUV,Tuvalu,Funafuti,Oceania,11312.00,11069.00,10877.00,10550.00,9638.00,9182.00,7731.00,5814.00,26.00,435.08,1.01,0.00
31,UGA,Uganda,Kampala,Africa,47249585.00,44404611.00,37477356.00,32341728.00,24020697.00,17586630.00,13284026.00,10317212.00,241550.00,195.61,1.03,0.59
38,UKR,Ukraine,Kiev,Europe,39701739.00,43909666.00,44982564.00,45683020.00,48879755.00,51589817.00,49973920.00,47279086.00,603500.00,65.79,0.91,0.50
97,ARE,United Arab Emirates,Abu Dhabi,Asia,9441129.00,9287289.00,8916899.00,8481771.00,3275333.00,1900151.00,1014048.00,298084.00,83600.00,112.93,1.01,0.12
21,GBR,United Kingdom,London,Europe,67508936.00,67059474.00,65224364.00,62760039.00,58850043.00,57210442.00,56326328.00,55650166.00,242900.00,277.93,1.00,0.85
3,USA,United States,"Washington, D.C.",North America,338289857.00,335942003.00,324607776.00,311182845.00,282398554.00,248083732.00,223140018.00,200328340.00,9372610.00,36.09,1.00,4.24
